                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    107,                0.72462,                0.51853,                 1.1251,                0.98071,                0.95736,                0.98064,                0.76709,                0.78994,                0.34617,                0.98164,               0.005842,               0.005842,               0.005842
                    108,                 0.7296,                0.52537,                 1.1244,                0.98077,                0.95793,                0.98099,                0.76645,                0.78983,                0.34613,                0.98161,              0.0058024,              0.0058024,              0.0058024
                    109,                0.72857,                0.52433,                  1.127,                0.98085,                0.95793,                0.98096,                0.76698,                0.79012,                0.34615,                0.98188,              0.0057628,              0.0057628,              0.0057628
                    110,                0.71812,                0.51832,                 1.1198,                0.98012,                0.95793,                 0.9809,                0.76675,                0.79052,                0.34628,                0.98201,              0.0057232,              0.0057232,              0.0057232
                    111,                0.71798,                0.51087,                 1.1218,                0.97961,                0.95736,                 0.9806,                 0.7675,                0.79023,                0.34602,                0.98197,              0.0056836,              0.0056836,              0.0056836
                    112,                0.71503,                0.51418,                 1.1214,                0.97957,                0.95736,                0.98062,                0.76763,                0.79083,                0.34613,                0.98238,               0.005644,               0.005644,               0.005644
                    113,                0.71255,                0.51513,                 1.1186,                0.97947,                0.95736,                0.98056,                0.76756,                0.79106,                0.34537,                0.98237,              0.0056044,              0.0056044,              0.0056044
                    114,                0.71409,                0.51492,                 1.1176,                0.97947,                0.95736,                0.98052,                0.76642,                0.79099,                0.34563,                0.98229,              0.0055648,              0.0055648,              0.0055648
                    115,                0.70548,                0.50437,                 1.1144,                0.97947,                0.95736,                0.98046,                0.76698,                0.79147,                0.34543,                 0.9825,              0.0055252,              0.0055252,              0.0055252
                    116,                0.71387,                0.51147,                 1.1179,                0.97885,                0.95679,                0.98034,                0.76711,                0.79164,                0.34522,                0.98235,              0.0054856,              0.0054856,              0.0054856
                    117,                0.70846,                0.50118,                  1.116,                0.97906,                0.95711,                0.98028,                0.76705,                0.79213,                0.34464,                0.98263,               0.005446,               0.005446,               0.005446
                    118,                 0.7039,                0.50323,                 1.1158,                0.97907,                0.95726,                0.98033,                0.76715,                0.79219,                0.34443,                0.98268,              0.0054064,              0.0054064,              0.0054064
                    119,                0.70097,                0.49564,                 1.1113,                0.97849,                0.95704,                0.98038,                0.76763,                0.79261,                0.34451,                0.98296,              0.0053668,              0.0053668,              0.0053668
                    120,                0.70303,                0.50294,                 1.1141,                0.97851,                0.95755,                0.98038,                0.76769,                0.79327,                0.34462,                0.98319,              0.0053272,              0.0053272,              0.0053272
                    121,                 0.6996,                0.49514,                 1.1077,                0.97851,                0.95766,                 0.9804,                0.76723,                0.79381,                0.34461,                0.98348,              0.0052876,              0.0052876,              0.0052876
